Ford,Don Reid Ford,5/3/2010 8:11,,,1875 S Orlando Ave,,Maitland,FL,32751-6668
Ford,Gary Yeomans Ford Lincoln Mazda,9/11/2009 16:13,4790,,1420 N. Tomoka Farms Rd.,,Daytona Beach,FL,32124
Ford,Lakeland Automall,4/11/2010 18:04,,,1430 W Memorial Blvd,,Lakeland,FL,33815
Ford,Maroone Ford of Miami,9/11/2009 16:15,,,16800 N.W. 57th Avenue,,Miami,FL,33015
GM,Autoway Chevrolet of Clearwater,11/16/2005 7:56,114779,,15005 US Highway 19 N,,Clearwater,FL,33764
GM,Bayview Cadillac,11/17/2006 10:37,119045,,1240 North Federal Highway,,Fort Lauderdale,FL,33304
GM,Bill Cramer Chevrolet-Cadillac-BPG,12/9/2005 11:52,114792,,2251 West 23rd Street,,Panama City,FL,32405
GM,Cannon Automotive Group,11/7/2007 10:50,118292,,5210 South Florida Ave.,,Lakeland,FL,33813
GM,Carl’s Buick Pontiac GMC,6/9/2005 10:05,167046,,2445 S.E. Federal Highway,,Stuart,FL,34994
GM,Coggin Chevrolet at the Avenues,1/16/2006 12:49,168823,,10880 Phillips Highway,,Jacksonville,FL,32256
GM,Coggin Pontiac-GMC-Buick of Orange Park,12/16/2005 10:17,184306,,7245 Blanding Blvd.,,Jacksonville,FL,32244
GM,Courtesy Chevrolet - Airport,9/20/2005 14:48,114788,,5600 Lee Vista Blvd.,,Orlando,FL,32812
GM,Danny Len Buick-GMC,1/30/2009 8:04,139415,,17605 US 441,,Mount Dora,FL,32757
GM,Dyer Chevrolet,5/25/2005 10:06,243765,,1000 US Highway 1,,Vero Beach,FL,32960
GM,Ed Morse Sawgrass,7/14/2005 14:29,165673,,14401 West Sunrise Blvd.,,Sunrise,FL,33323
GM,Ferman Chevrolet,4/12/2005 13:14,114764,,43520 US Highway 19 North,,Tarpon Springs,FL,34689
GM,Ferman Chevrolet,11/19/2004 15:57,114718,,9751 Adamo Drive,,Tampa,FL,33619
GM,Ferman Pontiac Buick GMC,6/30/2006 8:09,223286,,24252 State Road 54,,Lutz,FL,33559
GM,"Fields Cadillac, GMC, Pontiac, Buick",1/25/2007 10:42,117844,,19510 Highway 27,,Lake Wales,FL,33853
GM,Grand Prize Chevrolet,10/26/2007 9:28,114794,,11701 SW 152 St.,,Miami,FL,33177
GM,Jack Wilson Chevrolet,2/16/2007 7:46,114721,,2255 US 1 South,,St. Augustine,FL,32086
GM,Jon Hall Chevrolet,4/5/2006 10:18,114760,,551 North Nova Road,,Daytona Beach,FL,32114
GM,New Smyrna Chevrolet,12/16/2004 10:06,192062,,1919 N. Dixie Freeway,,New Smyrna Beach,FL,32168
GM,Nimnicht Auto,9/21/2004 9:56,190917,,1550 Cassat Ave / 11503 Philips Highway,,Jacksonville,FL,32218
GM,Pasco Chevrolet Buick GMC,4/11/2006 9:14,116312,,14341 7th Street,,Dade City,FL,33523
GM,Pete Moore Chevrolet,6/14/2007 8:49,112629,,103 New Warrington rd.,,Pensacola,FL,32506
GM,Plaza Cadillac,2/25/2005 7:43,132763,,8893 US Highway 441,,Leesburg,FL,34788
GM,Ritchey Cadillac Buick Pontiac GMC,12/13/2006 8:34,114760,,932 North Nova Road,,Daytona Beach,FL,32117
GM,Schumacher Automotive,5/12/2005 10:52,160075,,3720 North Lake Blvd.,,Lake Park,FL,33403
GM,Stingray Chevrolet,3/15/2005 11:34,255691,,2002 N. Frontage Rd.,,Plant City,FL,33563
GM,Stingray Chevrolet Bartow,2/11/2005 7:55,114778,,1475 West Main Street,,Bartow,FL,33830
GM,Vann Gannaway Chevrolet,4/14/2005 7:06,114710,,2200 E. Burleigh Blvd.,,Eustis,FL,32726
GM,Williamson Cadillac Hummer,4/12/2007 15:48,119048,,7815 SW 104th Street,,Miami,FL,33156
Mopar,Arrigo Dodge Chrysler Jeep,10/31/2013 13:53,,,5851 S US Hwy 1,,Ft Pierce,FL,34982
Mopar,Arrigo Dodge Chrysler Jeep,10/31/2013 13:54,,,6500 Okeechobee Blvd,,West Palm Beach,FL,33411
Mopar,Arrigo Dodge Chrysler Jeep,10/31/2013 13:56,,,5901 Madison Ave,,Tamarac,FL,33321
Mopar,Delray Motors,10/25/2013 14:01,,,2102 S Federal Highway,,Delray Beach,FL,33483
Mopar,Ferman Chrysler-Jeep-Dodge of Cypress Creek,11/14/2007 8:57,60348,,24314 State Road 54,,Lutz,FL,33559
Mopar,Gator Chrysler Dodge Jeep Fiat,6/27/2007 14:52,64977,,840 S. Harbor City Blvd,,Melbourne,FL,32901
GM,Nash Chevrolet Co.,4/7/2006 11:18,112519,,630 Scenic Highway,,Lawrenceville,GA,30045
GM,NeSmith Chevrolet,2/23/2006 9:12,112580,,7334 Highway 280 West,,Claxton,GA,30417
GM,Prince Automotive of Valdosta,10/19/2007 9:35,159183,,4550 N. Valdosta Rd.,,Valdosta,GA,31602
GM,Rincon Chevrolet,2/10/2006 11:02,112591,,5480 Highway 21 South,,Rincon,GA,31326
Mopar,Troncalli Chrysler Jeep Dodge,3/22/2007 10:34,,,818 Atlanta Hwy.,,Cumming,GA,30040
GM,JN Automotive Group,6/27/2008 11:39,112209,,2999 N. Nimitz Hwy,,Honolulu,HI,96819
Toyota,Toyota of Des Moines,8/6/2008 12:44,14044,,4475 Merle Hay Rd.,,Des Moines,IA,50310
GM,Karl Chevrolet,4/30/2004 8:19,111928,,1101 SE Oralabor Road,,Ankeny,IA,50021
GM,Pella Motors Inc.,4/16/2008 10:27,236315,,604 E. Oskaloosa Street,,Pella,IA,50219
GM,Shottenkirk Chevrolet Waukee,4/11/2007 9:54,205567,,755 Highway 6,,Waukee,IA,50263
GM,Shottenkirk GM Giant,5/9/2005 7:02,111411,,Highway 61 West,,Fort Madison,IA,52627
GM,Shottenkirk of Mt. Pleasant,4/10/2007 14:07,224858,,2301 East Washington,,Mt. Pleasant,IA,52641
GM,Woodhouse Chevrolet-Buick-Pontiac,12/7/2007 9:02,246150,,1951 Hwy 30,,Missouri Valley,IA,51555
Mopar,Pat McGrath Dodge Country,11/25/2013 12:54,,,4610 Center Point Rd NE,,Cedar Rapids,IA,52402
Mopar,Shottenkirk CDJ (Mt. Pleasant),11/6/2007 13:14,,,2301 E. Washington,,Mt. Pleasant,IA,52641
Mopar,Stew Hansens Dodge City Inc.,1/8/2014 15:38,,,12103 Hickman Rd.,,Des Moines,IA,50323-1801
Toyota,Peterson Autoplex,5/12/2008 11:34,,,9101 W. Fairview Ave.,,Boise,ID,83704
GM,Erickson Pontiac-GMC,11/26/2007 14:44,116829,,890 W. Main St.,,Rexburg,ID,83440
Mopar,Ron Sayer Dodge,10/15/2013 10:10,,,490 Northgate Mile,,Idaho Falls,ID,83401-2540
Toyota,Dave Mungenast Alton Toyota,2/9/2009 11:10,12112,,850 Homer Adams Pkwy.,,Alton,IL,62002
Toyota,Lombard Toyota,3/6/2009 11:26,,,725 W. Roosevelt Rd.,,Lombard,IL,60148
GM,Apple Chevrolet,5/21/2004 14:52,113171,,8585 West 159th Street,,Tinley Park,IL,60477
GM,Dick Wickstrom Chevrolet,5/1/2007 12:44,113213,,555 E. Irving Park Road,,Roselle,IL,60172
GM,Friendly Chevrolet (Springfield),11/20/2007 9:11,113397,,2540 Prairie Crossing Dr.,,Springfield,IL,62711
GM,Gary Lang Auto Group,11/3/2005 10:10,113251,,1107 South Route 31,,McHenry,IL,60050
GM,Lemans Chevrolet City,1/10/2008 11:02,169623,,1602 Morrissey Drive,,Bloomington,IL,61704
GM,"Miles Chevrolet, Inc.",1/6/2005 16:55,113267,,150 W. Pershing Road,,Decatur,IL,62626
GM,Rock Chevrolet,6/29/2009 10:57,,,1000 E. Belvidere Rd.,,Grayslake,IL,60030
GM,Roger Jennings,6/15/2007 11:40,116516,,1617 Vandalia Road,,Hillsboro,IL,62049
GM,Shottenkirk Chevrolet Quincy,5/9/2007 13:29,199757,,24th & Locust,,Quincy,IL,62301
GM,Smoky Jennings,5/9/2007 9:04,111345,,152 North Main St,,Palmyra,IL,62674
GM,Weber Granite City,6/26/2007 7:40,111334,,3499 Progress Pkwy,,Granite City,IL,62040
Mopar,Fields Jeep,10/15/2013 12:05,,,670 W Frontage Dr,,Northfield,IL,60093
Mopar,Zeigler Chrysler Dodge Jeep,11/26/2013 10:11,,,208 W Golf Rd,,Schaumburg,IL,60195
Toyota,Ed Martin Toyota,6/1/2007 10:04,,,5500 Scatterfield Road,,Anderson,IN,46013
Toyota,Kenny Kent Toyota,3/5/2010 11:05,,,5600 East Division St,,Evansville,IN,47715
Toyota,Uebelhor Toyota,3/2/2007 8:54,,,788 12th Avenue,,Jasper,IN,47546
GM,Penske Chevrolet,4/24/2007 10:51,112923,,3210 East 96th Street,,Indianapolis,IN,46240
GM,Ray Skillman GMC,1/8/2008 8:53,117271,,8424 US Highway 31 South,,Indianapolis,IN,46227
GM,Sam Pierce Chevrolet,9/12/2007 8:03,112932,,PO Box 565,,Daleville,IN,47334
GM,Stoops Buick-GMC Inc.,2/4/2008 14:31,118440,,1251 Quaker Blvd.,,Plainfield,IN,46168
GM,Uebelhor & Sons,1/17/2007 12:28,111467,,972 Wernsing Road,,Jasper,IN,47546
Mopar,Tom O'Brien Chrysler Jeep Dodge Ram,10/10/2013 8:06,,,750 US 31 N,,Greenwood,IN,46142
Toyota,Crown Toyota-Scion,10/2/2008 14:15,15051,,3430 S. Iowa St.,,Lawrence,KS,66046
